age,have_insurance
56,1
69,1
46,0
32,0
60,1
25,0
38,0
56,1
36,0
40,0
28,0
28,0
41,1
70,1
53,0
57,1
41,0
20,0
39,1
70,1
19,0
41,1
61,1
47,0
55,1
19,0
38,0
50,1
29,0
39,1
61,1
42,0
66,1
44,1
59,1
45,0
33,0
32,0
64,1
68,1
61,1
72,1
69,1
74,1
20,0
54,1
68,1
24,1
38,1
26,0
56,0
35,1
21,0
42,1
31,0
67,1
26,0
43,0
70,1
19,0
37,0
45,0
64,1
24,0
61,1
25,0
64,1
52,1
31,0
34,0
53,1
67,1
57,1
21,0
19,0
23,0
71,1
59,1
21,0
71,1
46,0
35,1
43,1
61,0
51,1
27,1
53,1
31,0
48,1
65,1
32,0
25,0
31,0
40,1
74,1
57,1
38,0
33,0
62,1
35,0
